DateTime,Open,Close,High,Low
2020-01-02,1875,1898.01,1898.01,1864.15
2020-01-03,1864.5,1874.97,1886.1965,1864.5
2020-01-06,1860,1902.88,1903.69,1860
2020-01-07,1904.5,1906.86,1913.89,1892.0433
2020-01-08,1898.04,1891.97,1910.9999,1886.4448
2020-01-09,1909.89,1901.05,1917.82,1895.8038
2020-01-10,1905.37,1883.16,1906.94,1880
2020-01-13,1891.31,1891.3,1898,1880.8
2020-01-14,1885.88,1869.44,1887.11,1858.55
2020-01-15,1872.25,1862.02,1878.86,1855.09
2020-01-16,1882.99,1877.94,1885.59,1866.02
2020-01-17,1885.89,1864.72,1886.64,1857.25
2020-01-21,1865,1892,1894.27,1860
2020-01-22,1896.09,1887.46,1902.5,1883.34
2020-01-23,1885.11,1884.58,1889.975,1872.76
2020-01-24,1891.37,1861.64,1894.99,1847.44
2020-01-27,1820,1828.34,1841,1815.34
2020-01-28,1840.5,1853.25,1858.11,1830.02
2020-01-29,1864,1858,1874.75,1855.02
2020-01-30,1858,1870.68,1872.87,1850.61
2020-01-31,2051.47,2008.72,2055.72,2002.27
2020-02-03,2010.6,2004.2,2048.5,2000.25
2020-02-04,2029.88,2049.67,2059.8,2015.37
2020-02-05,2071.02,2039.87,2071.02,2032
2020-02-06,2041.02,2050.23,2056.3,2024.8001
2020-02-07,2041.99,2079.28,2098.53,2038.1
2020-02-10,2085.01,2133.91,2135.6,2084.96
2020-02-11,2150.9,2150.8,2185.95,2136
2020-02-12,2163.2,2160,2180.2494,2155.29
2020-02-13,2144.99,2149.87,2170.28,2142
2020-02-14,2155.68,2134.87,2159.0352,2125.89
2020-02-18,2125.02,2155.67,2166.07,2124.105
2020-02-19,2167.8,2170.22,2185.1,2161.12
2020-02-20,2173.07,2153.13,2176.79,2127.45
2020-02-21,2142.15,2095.97,2144.55,2088
2020-02-24,2003.18,2009.29,2039.295,1987.9742
2020-02-25,2026.42,1972.74,2034.6,1958.42
2020-02-26,1970.28,1979.59,2014.67,1960.45
2020-02-27,1934.38,1884.3,1975,1882.7621
2020-02-28,1814.63,1883.75,1889.76,1811.129
2020-03-02,1906.49,1953.95,1954.51,1870
2020-03-03,1975.37,1908.99,1996.33,1888.0901
2020-03-04,1946.57,1975.83,1978,1922
2020-03-05,1933,1924.03,1960.72,1910
2020-03-06,1875,1900.295,1910.87,1869.5
2020-03-09,1773.86,1800.61,1862.77,1761.2901
2020-03-10,1870.88,1891.82,1894.27,1818.17
2020-03-11,1857.85,1820.86,1871.3194,1801.5
2020-03-12,1721.98,1675.61,1765,1675
2020-03-13,1755,1785,1786.31,1680.62
2020-03-16,1641.51,1689.15,1759.4519,1626.0318
2020-03-17,1775.47,1807.84,1857.775,1689.2402
2020-03-18,1750,1831.665,1841.66,1745
2020-03-19,1860,1880.93,1945,1832.65
2020-03-20,1926.31,1846.09,1957,1820.73
2020-03-23,1827.75,1902.83,1919.4,1812
2020-03-24,1951.495,1940.1,1955,1900.3403
